TIME	LOS ANGELES	SCORE	OKLAHOMA CITY
0:53	Pau Gasol makes tip shot	62-71	 
0:33	 	62-73	Serge Ibaka makes 19-foot jumper (Kevin Durant assists)
0:15	Matt Barnes traveling	62-73	 
0:15	Andrew Goudelock enters the game for Kobe Bryant	62-73	 
0:15	 	62-73	Nazr Mohammed enters the game for Serge Ibaka
0:15	Metta World Peace enters the game for Andrew Bynum	62-73	 
0:00	 	62-73	Reggie Jackson misses 23-foot three point jumper
0:00	 	62-73	Oklahoma City defensive team rebound
0:00	End of the 3rd Quarter
4th Quarter Summary

12:00	Start of the 4th Quarter
11:41	Andrew Bynum misses 5-foot two point shot	62-73	 
11:41	 	62-73	Nazr Mohammed defensive rebound
11:26	 	62-73	James Harden bad pass
11:12	Steve Blake makes jumper (Pau Gasol assists)	64-73	 
10:52	 	64-73	James Harden offensive foul (Matt Barnes draws the foul)
10:52	 	64-73	James Harden turnover
10:41	 	64-73	Reggie Jackson shooting foul (Steve Blake draws the foul)
10:41	Steve Blake makes free throw 1 of 2	65-73	 
10:41	Steve Blake makes free throw 2 of 2	66-73	 
10:32	Steve Blake shooting foul (Reggie Jackson draws the foul)	66-73	 
10:32	 	66-74	Reggie Jackson makes free throw 1 of 2
10:32	 	66-75	Reggie Jackson makes free throw 2 of 2
10:18	Pau Gasol bad pass (James Harden steals)	66-75	 
10:15	Matt Barnes shooting foul (James Harden draws the foul)	66-75	 
10:15	 	66-76	James Harden makes free throw 1 of 2
10:15	Troy Murphy enters the game for Pau Gasol	66-76	 
10:15	 	66-77	James Harden makes free throw 2 of 2
9:57	Matt Barnes misses 14-foot jumper	66-77	 
9:56	 	66-77	Reggie Jackson defensive rebound
9:49	 	66-77	Reggie Jackson misses 15-foot two point shot
9:48	Matt Barnes defensive rebound	66-77	 
9:34	Steve Blake bad pass (Nazr Mohammed steals)	66-77	 
9:26	 	66-77	Royal Ivey misses three point jumper
9:26	Steve Blake defensive rebound	66-77	 
9:12	Andrew Bynum makes two point shot	68-77	 
9:11	Oklahoma City full timeout
9:11	 	68-77	Russell Westbrook enters the game for Royal Ivey
9:11	Kobe Bryant enters the game for Andrew Goudelock	68-77	 
9:02	 	68-77	Russell Westbrook misses 17-foot two point shot
9:00	Matt Barnes defensive rebound	68-77	 
8:38	Andrew Bynum makes 6-foot two point shot (Kobe Bryant assists)	70-77	 
8:26	Troy Murphy personal foul (James Harden draws the foul)	70-77	 
8:26	 	70-77	Kendrick Perkins enters the game for Cole Aldrich
8:26	 	70-77	Kevin Durant enters the game for Reggie Jackson
8:26	 	70-77	Serge Ibaka enters the game for Nazr Mohammed
8:26	Pau Gasol enters the game for Troy Murphy	70-77	 
8:17	 	70-77	Russell Westbrook misses 24-foot three point jumper
8:15	 	70-77	James Harden offensive rebound
8:00	 	70-79	James Harden makes driving layup
7:46	 	70-79	Russell Westbrook personal foul (Steve Blake draws the foul)
7:39	Kobe Bryant makes two point shot	72-79	 
7:13	 	72-81	Kevin Durant makes 6-foot two point shot
7:00	Andrew Bynum makes dunk (Matt Barnes assists)	74-81	 
6:41	 	74-83	Russell Westbrook makes two point shot
6:41	Matt Barnes shooting foul (Russell Westbrook draws the foul)	74-83	 
6:41	Metta World Peace enters the game for Matt Barnes	74-83	 
6:41	 	74-84	Russell Westbrook makes free throw 1 of 1
6:18	Andrew Bynum misses two point shot	74-84	 
6:18	 	74-84	Kevin Durant defensive rebound
6:15	 	74-86	James Harden makes dunk (Russell Westbrook assists)
6:13	Los Angeles full timeout
6:13	Derek Fisher enters the game for Steve Blake	74-86	 
5:50	Metta World Peace misses 21-foot jumper	74-86	 
5:50	 	74-86	Kendrick Perkins defensive rebound
5:30	 	74-86	Kevin Durant misses 25-foot three point jumper
5:28	Andrew Bynum defensive rebound	74-86	 
5:15	Kobe Bryant misses 20-foot two point shot	74-86	 
5:13	 	74-86	Serge Ibaka defensive rebound
4:54	 	74-86	Serge Ibaka misses 17-foot jumper
4:50	Kobe Bryant defensive rebound	74-86	 
4:41	Kobe Bryant misses layup	74-86	 
4:39	 	74-86	Serge Ibaka defensive rebound
4:35	 	74-86	James Harden misses 4-foot jumper
4:33	 	74-86	Kevin Durant offensive rebound
4:30	 	74-86	James Harden misses 26-foot three point jumper
4:28	 	74-88	Kendrick Perkins offensive rebound
4:28	 	74-88	Kendrick Perkins makes two point shot
4:07	Pau Gasol makes 7-foot jumper	76-88	 
4:07	 	76-88	Serge Ibaka shooting foul (Pau Gasol draws the foul)
4:07	Pau Gasol makes free throw 1 of 1	77-88	 
3:49	 	77-88	Kevin Durant misses 5-foot two point shot
3:47	Pau Gasol defensive rebound	77-88	 
3:44	Kobe Bryant makes two point shot	79-88	 
3:30	Metta World Peace personal foul (Russell Westbrook draws the foul)	79-88	 
3:30	 	79-89	Russell Westbrook makes free throw 1 of 2
3:30	 	79-90	Russell Westbrook makes free throw 2 of 2
3:10	 	79-90	Serge Ibaka shooting foul (Kobe Bryant draws the foul)
3:10	Kobe Bryant makes free throw 1 of 2	80-90	 
